GeneID,NumberOfLiterature,PubMedIDs,GeneSymbol,Alias,Xref,Chromosome,Cytoband,FullName,GeneType,Description
7249,3,"15624760,28409891,15072102,",TSC2,LAM|PPP1R160|TSC4,MIM:191092|HGNC:HGNC:12363|Ensembl:ENSG00000103197|Vega:OTTHUMG00000128745,16,16p13.3,TSC complex subunit 2,protein-coding,"tuberin|protein phosphatase 1, regulatory subunit 160|tuberous sclerosis 2 protein"
5979,2,"22031517,20205103,",RET,CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51,MIM:164761|HGNC:HGNC:9967|Ensembl:ENSG00000165731|Vega:OTTHUMG00000018024,10,10q11.21,ret proto-oncogene,protein-coding,"proto-oncogene tyrosine-protein kinase receptor Ret|CUX1/RET fusion|RET receptor tyrosine kinase|RET transforming sequence|cadherin family member 12|cadherin-related family member 16|hydroxyaryl-protein kinase|proto-oncogene c-Ret|rearranged during transfection|receptor tyrosine kinase|ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)"
3596,1,"26516307,",IL13,IL-13|P600,MIM:147683|HGNC:HGNC:5973|Ensembl:ENSG00000169194|Vega:OTTHUMG00000059723,5,5q31.1,interleukin 13,protein-coding,interleukin-13
3074,1,"16710745,",HEXB,ENC-1AS|HEL-248|HEL-S-111,MIM:606873|HGNC:HGNC:4879|Ensembl:ENSG00000049860|Vega:OTTHUMG00000102057,5,5q13.3,hexosaminidase subunit beta,protein-coding,beta-hexosaminidase subunit beta|HCC-7|N-acetyl-beta-glucosaminidase subunit beta|beta-N-acetylhexosaminidase subunit beta|beta-hexosaminidase beta-subunit|cervical cancer proto-oncogene 7 protein|epididymis luminal protein 248|epididymis secretory protein Li 111|hexosaminidase B (beta polypeptide)|hexosaminidase subunit B
4869,5,"20533335,17922009,17488663,17690253,12555065,",NPM1,B23|NPM,MIM:164040|HGNC:HGNC:7910|Ensembl:ENSG00000181163|Vega:OTTHUMG00000130465,5,5q35.1,nucleophosmin 1,protein-coding,"nucleophosmin|nucleolar protein NO38|nucleophosmin (nucleolar phosphoprotein B23, numatrin)|nucleophosmin/nucleoplasmin family, member 1|testicular tissue protein Li 128"
8350,6,"29809131,27694758,27135271,29727696,28183840,26517431,",HIST1H3A,H3/A|H3FA,MIM:602810|HGNC:HGNC:4766|Ensembl:ENSG00000275714|Vega:OTTHUMG00000014418,6,6p22.2,histone cluster 1 H3 family member a,protein-coding,"histone H3.1|H3 histone family, member A|histone 1, H3a|histone H3/a|histone cluster 1, H3a"
1050,1,"27591677,",CEBPA,C/EBP-alpha|CEBP,MIM:116897|HGNC:HGNC:1833|Ensembl:ENSG00000245848|Vega:OTTHUMG00000161461,19,19q13.11,CCAAT/enhancer binding protein alpha,protein-coding,"CCAAT/enhancer-binding protein alpha|CCAAT/enhancer binding protein (C/EBP), alpha"
6361,1,"18395252,",CCL17,A-152E5.3|ABCD-2|SCYA17|TARC,MIM:601520|HGNC:HGNC:10615|Ensembl:ENSG00000102970|Vega:OTTHUMG00000133468,16,16q21,C-C motif chemokine ligand 17,protein-coding,"C-C motif chemokine 17|CC chemokine TARC|T cell-directed CC chemokine|chemokine (C-C motif) ligand 17|small inducible cytokine subfamily A (Cys-Cys), member 17|small-inducible cytokine A17|thymus and activation-regulated chemokine"
63827,1,"28695888,",BCAN,BEHAB|CSPG7,MIM:600347|HGNC:HGNC:23059|Ensembl:ENSG00000132692|Vega:OTTHUMG00000033322,1,1q23.1,brevican,protein-coding,brevican core protein|brain-enriched hyaluronan-binding protein|chondroitin sulfate proteoglycan 7|chondroitin sulfate proteoglycan BEHAB
1387,2,"29551561,24115570,",CREBBP,CBP|KAT3A|RSTS|RSTS1,MIM:600140|HGNC:HGNC:2348|Ensembl:ENSG00000005339|Vega:OTTHUMG00000129431,16,16p13.3,CREB binding protein,protein-coding,CREB-binding protein
1031,3,"27588406,17099725,16260494,",CDKN2C,INK4C|p18|p18-INK4C,MIM:603369|HGNC:HGNC:1789|Ensembl:ENSG00000123080|Vega:OTTHUMG00000008046,1,1p32.3,cyclin dependent kinase inhibitor 2C,protein-coding,"cyclin-dependent kinase 4 inhibitor C|CDK6 inhibitor p18|cyclin-dependent inhibitor|cyclin-dependent kinase 6 inhibitor p18|cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)|p18-INK6"
4361,1,"28819025,",MRE11,ATLD|HNGS1|MRE11A|MRE11B,MIM:600814|HGNC:HGNC:7230|Ensembl:ENSG00000020922|Vega:OTTHUMG00000167780,11,11q21,"MRE11 homolog, double strand break repair nuclease",protein-coding,"double-strand break repair protein MRE11|double-strand break repair protein MRE11A|AT-like disease|DNA recombination and repair protein|MRE11 double strand break repair nuclease A|MRE11 homolog 1|MRE11 homolog A, double strand break repair nuclease|MRE11 homolog, double strand break repair nuclease A|MRE11 meiotic recombination 11 homolog A|MRE11 meiotic recombination 11-like protein A|endo/exonuclease Mre11|meiotic recombination 11 homolog 1|meiotic recombination 11 homolog A"
10411,1,"28216156,",RAPGEF3,CAMP-GEFI|EPAC|EPAC1|HSU79275|bcm910,MIM:606057|HGNC:HGNC:16629|Ensembl:ENSG00000079337|Vega:OTTHUMG00000133667,12,12q13.11,Rap guanine nucleotide exchange factor 3,protein-coding,rap guanine nucleotide exchange factor 3|9330170P05Rik|EPAC 1|Rap guanine nucleotide exchange factor (GEF) 3|Rap1 guanine-nucleotide-exchange factor directly activated by cAMP|cAMP-regulated guanine nucleotide exchange factor I|exchange factor directly activated by cAMP 1|exchange protein directly activated by cAMP 1
3588,1,"28982901,",IL10RB,CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IL-10R2,MIM:123889|HGNC:HGNC:5965|Ensembl:ENSG00000243646|Vega:OTTHUMG00000065128,21,21q22.11,interleukin 10 receptor subunit beta,protein-coding,"interleukin-10 receptor subunit beta|IL-10 receptor subunit beta|IL-10R subunit 2|IL-10R subunit beta|IL-10RB|cytokine receptor class-II CRF2-4|cytokine receptor class-II member 4|cytokine receptor family 2 member 4|cytokine receptor family II, member 4|interleukin 10 receptor, beta|interleukin-10 receptor subunit 2"
578,1,"28337703,",BAK1,BAK|BAK-LIKE|BCL2L7|CDN1,MIM:600516|HGNC:HGNC:949|Ensembl:ENSG00000030110|Vega:OTTHUMG00000014530,6,6p21.31,BCL2 antagonist/killer 1,protein-coding,bcl-2 homologous antagonist/killer|BCL2-like 7 protein|apoptosis regulator BAK|bcl-2-like protein 7|bcl2-L-7|pro-apoptotic protein BAK
79618,1,"30257388,",HMBOX1,HNF1LA|HOT1|PBHNF,HGNC:HGNC:26137|Ensembl:ENSG00000147421|Vega:OTTHUMG00000172138,8,8p21.1-p12,homeobox containing 1,protein-coding,homeobox-containing protein 1|homeobox telomere-binding protein 1|homeobox-containing protein PBHNF
2067,3,"17151930,26264164,25192052,",ERCC1,COFS4|RAD10|UV20,MIM:126380|HGNC:HGNC:3433|Ensembl:ENSG00000012061|Vega:OTTHUMG00000182121,19,19q13.32,"ERCC excision repair 1, endonuclease non-catalytic subunit",protein-coding,"DNA excision repair protein ERCC-1|excision repair cross-complementation group 1|excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"
4893,3,"21209378,26597176,17712732,",NRAS,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,MIM:164790|HGNC:HGNC:7989|Ensembl:ENSG00000213281|Vega:OTTHUMG00000012059,1,1p13.2,"NRAS proto-oncogene, GTPase",protein-coding,GTPase NRas|N-ras protein part 4|neuroblastoma RAS viral (v-ras) oncogene homolog|neuroblastoma RAS viral oncogene homolog|transforming protein N-Ras|v-ras neuroblastoma RAS viral oncogene homolog
7704,1,"24764561,",ZBTB16,PLZF|ZNF145,MIM:176797|HGNC:HGNC:12930|Ensembl:ENSG00000109906|Vega:OTTHUMG00000168243,11,11q23.2,zinc finger and BTB domain containing 16,protein-coding,"zinc finger and BTB domain-containing protein 16|promyelocytic leukaemia zinc finger|zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)|zinc finger protein PLZF"
8929,1,"28464318,",PHOX2B,NBLST2|NBPhox|PMX2B,MIM:603851|HGNC:HGNC:9143|Ensembl:ENSG00000109132|Vega:OTTHUMG00000099379,4,4p13,paired like homeobox 2b,protein-coding,paired mesoderm homeobox protein 2B|PHOX2B homeodomain protein|neuroblastoma Phox|neuroblastoma paired-type homeobox protein|paired mesoderm homeobox 2b|paired-like homeobox 2B
1630,1,"27096627,",DCC,CRC18|CRCR1|HGPPS2|IGDCC1|MRMV1|NTN1R1,MIM:120470|HGNC:HGNC:2701|Ensembl:ENSG00000187323|Vega:OTTHUMG00000132698,18,18q21.2,DCC netrin 1 receptor,protein-coding,netrin receptor DCC|colorectal cancer suppressor|deleted in colorectal carcinoma|immunoglobulin superfamily DCC subclass member 1|putative colorectal tumor suppressor|tumor suppressor protein DCC
978,1,"27979915,",CDA,CDD,MIM:123920|HGNC:HGNC:1712|Ensembl:ENSG00000158825|Vega:OTTHUMG00000002845,1,1p36.12,cytidine deaminase,protein-coding,cytidine deaminase|cytidine aminohydrolase|cytosine nucleoside deaminase|small cytidine deaminase
4774,2,"24305710,24167280,",NFIA,BRMUTD|CTF|NF-I/A|NF1-A|NFI-A|NFI-L,MIM:600727|HGNC:HGNC:7784|Ensembl:ENSG00000162599|Vega:OTTHUMG00000008618,1,1p31.3,nuclear factor I A,protein-coding,nuclear factor 1 A-type|CCAAT-box-binding transcription factor|TGGCA-binding protein
8743,6,"28337703,12604406,16607283,27849590,18341587,23579274,",TNFSF10,APO2L|Apo-2L|CD253|TL2|TNLG6A|TRAIL,MIM:603598|HGNC:HGNC:11925|Ensembl:ENSG00000121858|Vega:OTTHUMG00000156917,3,3q26.31,TNF superfamily member 10,protein-coding,"tumor necrosis factor ligand superfamily member 10|Apo-2 ligand|TNF-related apoptosis inducing ligand TRAIL|chemokine tumor necrosis factor ligand superfamily member 10|tumor necrosis factor (ligand) family, member 10|tumor necrosis factor (ligand) superfamily, member 10|tumor necrosis factor apoptosis-inducing ligand splice variant delta|tumor necrosis factor ligand 6A|tumor necrosis factor superfamily member 10"
3741,1,"12850541,",KCNA5,ATFB7|HCK1|HK2|HPCN1|KV1.5|PCN1,MIM:176267|HGNC:HGNC:6224|Ensembl:ENSG00000130037|Vega:OTTHUMG00000168232,12,12p13.32,potassium voltage-gated channel subfamily A member 5,protein-coding,"potassium voltage-gated channel subfamily A member 5|cardiac potassium channel|insulinoma and islet potassium channel|potassium channel 1|potassium channel, voltage gated shaker related subfamily A, member 5|potassium voltage-gated channel, shaker-related subfamily, member 5|voltage-gated potassium channel HK2|voltage-gated potassium channel protein Kv1.5|voltage-gated potassium channel subunit Kv1.5"
1244,1,"19885582,",ABCC2,ABC30|CMOAT|DJS|MRP2|cMRP,MIM:601107|HGNC:HGNC:53|Ensembl:ENSG00000023839|Vega:OTTHUMG00000018895,10,10q24.2,ATP binding cassette subfamily C member 2,protein-coding,"canalicular multispecific organic anion transporter 1|ATP-binding cassette, sub-family C (CFTR/MRP), member 2|canalicular multidrug resistance protein|multidrug resistance-associated protein 2"
4171,2,"20661220,20174894,",MCM2,BM28|CCNL1|CDCL1|D3S3194|DFNA70|MITOTIN|cdc19,MIM:116945|HGNC:HGNC:6944|Ensembl:ENSG00000073111|Vega:OTTHUMG00000159637,3,3q21.3,minichromosome maintenance complex component 2,protein-coding,DNA replication licensing factor MCM2|cell devision cycle-like 1|cyclin-like 1|minichromosome maintenance deficient 2 (mitotin)|minichromosome maintenance protein 2 homolog|nuclear protein BM28
80142,1,"19347995,",PTGES2,C9orf15|GBF-1|GBF1|PGES2|mPGES-2,MIM:608152|HGNC:HGNC:17822|Ensembl:ENSG00000148334|Vega:OTTHUMG00000020730,9,9q34.11,prostaglandin E synthase 2,protein-coding,prostaglandin E synthase 2|GATE-binding factor 1|gamma-interferon-activated transcriptional element-binding factor 1|mPGE synthase-2|membrane-associated prostaglandin E synthase 2|microsomal prostaglandin E synthase-2|prostaglandin-H(2) E-isomerase
6657,12,"27230973,21919124,22937156,24094324,25956343,23667531,23596255,24954133,25696994,21518820,22070920,22069467,",SOX2,ANOP3|MCOPS3,MIM:184429|HGNC:HGNC:11195|Ensembl:ENSG00000181449|Vega:OTTHUMG00000158222,3,3q26.33,SRY-box 2,protein-coding,transcription factor SOX-2|SRY (sex determining region Y)-box 2|SRY-related HMG-box gene 2|sex determining region Y-box 2|transcription factor SOX2
10401,3,"28035384,28035977,15138572,",PIAS3,ZMIZ5,MIM:605987|HGNC:HGNC:16861|Ensembl:ENSG00000131788|Vega:OTTHUMG00000013750,1,1q21.1,protein inhibitor of activated STAT 3,protein-coding,"E3 SUMO-protein ligase PIAS3|protein inhibitor of activated STAT protein 3|zinc finger, MIZ-type containing 5"
5335,2,"25304611,24706664,",PLCG1,NCKAP3|PLC-II|PLC1|PLC148|PLCgamma1,MIM:172420|HGNC:HGNC:9065|Ensembl:ENSG00000124181|Vega:OTTHUMG00000033082,20,20q12,phospholipase C gamma 1,protein-coding,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1|1-phosphatidyl-D-myo-inositol-4,5-bisphosphate|PLC-148|PLC-gamma-1|inositoltrisphosphohydrolase|monophosphatidylinositol phosphodiesterase|phosphatidylinositol phospholipase C|phosphoinositidase C|phosphoinositide phospholipase C|phosphoinositide phospholipase C-gamma-1|phospholipase C, gamma 1 (formerly subtype 148)|phospholipase C-148|phospholipase C-II|triphosphoinositide phosphodiesterase"
1969,3,"17332925,23686814,18172271,",EPHA2,ARCC2|CTPA|CTPP1|CTRCT6|ECK,MIM:176946|HGNC:HGNC:3386|Ensembl:ENSG00000142627|Vega:OTTHUMG00000009527,1,1p36.13,EPH receptor A2,protein-coding,ephrin type-A receptor 2|epithelial cell receptor protein tyrosine kinase|soluble EPHA2 variant 1|tyrosine-protein kinase receptor ECK
1233,2,"29030090,15328188,",CCR4,CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5,MIM:604836|HGNC:HGNC:1605|Ensembl:ENSG00000183813|Vega:OTTHUMG00000130752,3,3p22.3,C-C motif chemokine receptor 4,protein-coding,C-C chemokine receptor type 4|C-C CKR-4|CCR-4|chemokine (C-C motif) receptor 4|chemokine (C-C) receptor 4
8473,1,"24580054,",OGT,HINCUT-1|HRNT1|MRX106|O-GLCNAC|OGT1,MIM:300255|HGNC:HGNC:8127|Ensembl:ENSG00000147162|Vega:OTTHUMG00000033316,X,Xq13.1,O-linked N-acetylglucosamine (GlcNAc) transferase,protein-coding,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit|O-GlcNAc transferase p110 subunit|O-GlcNAc transferase subunit p110|O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)|O-linked N-acetylglucosamine transferase 110 kDa subunit|UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase|uridinediphospho-N-acetylglucosamine:polypeptide beta-N-acetylglucosaminyl transferase
3065,3,"21143702,24036913,28276480,",HDAC1,GON-10|HD1|RPD3|RPD3L1,MIM:601241|HGNC:HGNC:4852|Ensembl:ENSG00000116478|Vega:OTTHUMG00000007529,1,1p35.2-p35.1,histone deacetylase 1,protein-coding,"histone deacetylase 1|reduced potassium dependency, yeast homolog-like 1"
27113,2,"18573879,23243310,",BBC3,JFY-1|JFY1|PUMA,MIM:605854|HGNC:HGNC:17868|Ensembl:ENSG00000105327|Vega:OTTHUMG00000183489,19,19q13.32,BCL2 binding component 3,protein-coding,bcl-2-binding component 3|p53 up-regulated modulator of apoptosis|p53-upregulated modulator of apoptosis
2932,5,"19882709,17016438,28042322,28650469,28208230,",GSK3B,-,MIM:605004|HGNC:HGNC:4617|Ensembl:ENSG00000082701|Vega:OTTHUMG00000133765,3,3q13.33,glycogen synthase kinase 3 beta,protein-coding,glycogen synthase kinase-3 beta|GSK-3 beta|GSK3beta isoform|serine/threonine-protein kinase GSK3B
22876,1,"25476455,",INPP5F,MSTP007|MSTPO47|SAC2|hSAC2,MIM:609389|HGNC:HGNC:17054|Ensembl:ENSG00000198825|Vega:OTTHUMG00000019158,10,10q26.11,inositol polyphosphate-5-phosphatase F,protein-coding,phosphatidylinositide phosphatase SAC2|Sac domain-containing inositol phosphatase 2|sac domain-containing phosphoinositide 4-phosphatase 2|sac domain-containing phosphoinositide 5-phosphatase 2
2073,2,"23534771,26264164,",ERCC5,COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC,MIM:133530|HGNC:HGNC:3437|Ensembl:ENSG00000134899|Vega:OTTHUMG00000017310,13,13q33.1,"ERCC excision repair 5, endonuclease",protein-coding,"DNA repair protein complementing XP-G cells|DNA excision repair protein ERCC-5|XPG-complementing protein|excision repair cross-complementation group 5|excision repair cross-complementing rodent repair deficiency, complementation group 5|xeroderma pigmentosum, complementation group G"
861,2,"19020999,21493867,",RUNX1,AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha,MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|Vega:OTTHUMG00000086299,21,21q22.12,runt related transcription factor 1,protein-coding,"runt-related transcription factor 1|AML1-EVI-1 fusion protein|CBF-alpha-2|PEA2-alpha B|PEBP2-alpha B|RUNX1/ZNF687 fusion|SL3-3 enhancer factor 1 alpha B subunit|SL3/AKV core-binding factor alpha B subunit|acute myeloid leukemia 1 protein|core-binding factor, runt domain, alpha subunit 2|oncogene AML-1|polyomavirus enhancer-binding protein 2 alpha B subunit"
4086,1,"19513897,",SMAD1,BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1,MIM:601595|HGNC:HGNC:6767|Ensembl:ENSG00000170365|Vega:OTTHUMG00000161592,4,4q31.21,SMAD family member 1,protein-coding,"mothers against decapentaplegic homolog 1|MAD, mothers against decapentaplegic homolog 1|Mad-related protein 1|SMAD, mothers against DPP homolog 1|TGF-beta signaling protein 1|mothers against DPP homolog 1|transforming growth factor-beta signaling protein 1"
10633,2,"21264544,21631628,",RASL10A,RRP22,MIM:602220|HGNC:HGNC:16954|Ensembl:ENSG00000100276|Vega:OTTHUMG00000151106,22,22q12.2,RAS like family 10 member A,protein-coding,ras-like protein family member 10A|ras-like protein RRP22|ras-related protein on chromosome 22
101,2,"21983884,22959284,",ADAM8,CD156|CD156a|MS2,MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651|Vega:OTTHUMG00000019309,10,10q26.3,ADAM metallopeptidase domain 8,protein-coding,disintegrin and metalloproteinase domain-containing protein 8|a disintegrin and metalloproteinase domain 8|cell surface antigen MS2|human leukocyte differentiation antigen
27250,2,"22986533,18793349,",PDCD4,H731,MIM:608610|HGNC:HGNC:8763|Ensembl:ENSG00000150593|Vega:OTTHUMG00000019048,10,10q25.2,programmed cell death 4,protein-coding,programmed cell death protein 4|neoplastic transformation inhibitor protein|nuclear antigen H731|programmed cell death 4 (neoplastic transformation inhibitor)|protein 197/15a
64344,1,"23485455,",HIF3A,HIF-3A|HIF3-alpha-1|IPAS|MOP7|PASD7|bHLHe17,MIM:609976|HGNC:HGNC:15825|Ensembl:ENSG00000124440|Vega:OTTHUMG00000141296,19,19q13.32,hypoxia inducible factor 3 alpha subunit,protein-coding,hypoxia-inducible factor 3-alpha|PAS domain-containing protein 7|basic-helix-loop-helix-PAS protein MOP7|class E basic helix-loop-helix protein 17|inhibitory PAS domain protein|member of PAS protein 7
63967,1,"25216549,",CLSPN,-,MIM:605434|HGNC:HGNC:19715|Ensembl:ENSG00000092853|Vega:OTTHUMG00000004168,1,1p34.3,claspin,protein-coding,claspin|claspin homolog
57007,1,"24970694,",ACKR3,CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1,MIM:610376|HGNC:HGNC:23692|Ensembl:ENSG00000144476|Vega:OTTHUMG00000133295,2,2q37.3,atypical chemokine receptor 3,protein-coding,atypical chemokine receptor 3|C-X-C chemokine receptor type 7|G protein-coupled receptor|G-protein coupled receptor 159|G-protein coupled receptor RDC1 homolog|chemokine (C-X-C motif) receptor 7|chemokine orphan receptor 1
5428,1,"20643228,",POLG,MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE,MIM:174763|HGNC:HGNC:9179|Ensembl:ENSG00000140521|Vega:OTTHUMG00000149646,15,15q26.1,"DNA polymerase gamma, catalytic subunit",protein-coding,"DNA polymerase subunit gamma-1|PolG-alpha|mitochondrial DNA polymerase catalytic subunit|polymerase (DNA directed), gamma|polymerase (DNA) gamma, catalytic subunit|truncated mitochondrial DNA polymerase gamma catalytic subunit"
917,1,"23348211,",CD3G,CD3-GAMMA|IMD17|T3G,MIM:186740|HGNC:HGNC:1675|Ensembl:ENSG00000160654|Vega:OTTHUMG00000166971,11,11q23.3,CD3g molecule,protein-coding,"T-cell surface glycoprotein CD3 gamma chain|CD3g antigen, gamma polypeptide (TiT3 complex)|CD3g molecule, epsilon (CD3-TCR complex)|CD3g molecule, gamma (CD3-TCR complex)|T-cell antigen receptor complex, gamma subunit of T3|T-cell receptor T3 gamma chain"
6091,1,"16636676,",ROBO1,DUTT1|SAX3,MIM:602430|HGNC:HGNC:10249|Ensembl:ENSG00000169855|Vega:OTTHUMG00000158843,3,3p12.3,roundabout guidance receptor 1,protein-coding,"roundabout homolog 1|deleted in U twenty twenty|roundabout, axon guidance receptor, homolog 1"
7082,1,"21334421,",TJP1,ZO-1,MIM:601009|HGNC:HGNC:11827|Ensembl:ENSG00000104067|Vega:OTTHUMG00000137397,15,15q13.1,tight junction protein 1,protein-coding,tight junction protein ZO-1|zona occludens 1|zonula occludens 1 protein
6649,1,"18682580,",SOD3,EC-SOD,MIM:185490|HGNC:HGNC:11181|Ensembl:ENSG00000109610|Vega:OTTHUMG00000128565,4,4p15.2,superoxide dismutase 3,protein-coding,"extracellular superoxide dismutase [Cu-Zn]|superoxide dismutase 3, extracellular|testicular tissue protein Li 175"
2290,1,"17522785,",FOXG1,BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN,MIM:164874|HGNC:HGNC:3811|Ensembl:ENSG00000176165|Vega:OTTHUMG00000140187,14,14q12,forkhead box G1,protein-coding,forkhead box protein G1|brain factor 1|brain factor 2|forkhead-like 1|forkhead-like 2|forkhead-like 3|forkhead-like 4|oncogene QIN
5880,2,"15812594,18217210,",RAC2,EN-7|Gx|HSPC022|p21-Rac2,MIM:602049|HGNC:HGNC:9802|Ensembl:ENSG00000128340|Vega:OTTHUMG00000150540,22,22q13.1,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",protein-coding,"ras-related C3 botulinum toxin substrate 2|Ras-related C3 botulinum toxin substrate 3 (rho family, small GTP-binding protein Rac2)|small G protein"
7337,1,"22689861,",UBE3A,ANCR|AS|E6-AP|EPVE6AP|HPVE6A,MIM:601623|HGNC:HGNC:12496|Ensembl:ENSG00000114062|Vega:OTTHUMG00000171548,15,15q11.2,ubiquitin protein ligase E3A,protein-coding,ubiquitin-protein ligase E3A|CTCL tumor antigen se37-2|E6AP ubiquitin-protein ligase|HECT-type ubiquitin transferase E3A|human papilloma virus E6-associated protein|human papillomavirus E6-associated protein|oncogenic protein-associated protein E6-AP|renal carcinoma antigen NY-REN-54
1816,1,"28613975,",DRD5,DBDR|DRD1B|DRD1L2,MIM:126453|HGNC:HGNC:3026|Ensembl:ENSG00000169676|Vega:OTTHUMG00000128489,4,4p16.1,dopamine receptor D5,protein-coding,D(1B) dopamine receptor|D1beta dopamine receptor|d(5) dopamine receptor|dopamine D5 receptor|dopamine receptor D1B
23533,1,"17486067,",PIK3R5,F730038I15Rik|FOAP-2|P101-PI3K|p101,MIM:611317|HGNC:HGNC:30035|Ensembl:ENSG00000141506|Vega:OTTHUMG00000108197,17,17p13.1,phosphoinositide-3-kinase regulatory subunit 5,protein-coding,"phosphoinositide 3-kinase regulatory subunit 5|PI3-kinase p101 subunit|phosphatidylinositol 4,5-bisphosphate 3-kinase regulatory subunit|protein FOAP-2|ptdIns-3-kinase p101"
706,2,"16868661,26551696,",TSPO,BPBS|BZRP|DBI|IBP|MBR|PBR|PBS|PKBS|PTBR|mDRC|pk18,MIM:109610|HGNC:HGNC:1158|Ensembl:ENSG00000100300|Vega:OTTHUMG00000150573,22,22q13.2,translocator protein,protein-coding,translocator protein|benzodiazepine peripheral binding site|mitochondrial benzodiazepine receptor|peripheral-type benzodiazepine receptor
79679,1,"27001312,",VTCN1,B7-H4|B7H4|B7S1|B7X|B7h.5|PRO1291|VCTN1,MIM:608162|HGNC:HGNC:28873|Ensembl:ENSG00000134258|Vega:OTTHUMG00000012118,1,1p13.1-p12,V-set domain containing T-cell activation inhibitor 1,protein-coding,"V-set domain-containing T-cell activation inhibitor 1|B7 family member, H4|B7 homolog 4|B7 superfamily member 1|T cell costimulatory molecule B7x|immune costimulatory protein B7-H4"
56666,1,"16989724,",PANX2,PX2|hPANX2,MIM:608421|HGNC:HGNC:8600|Ensembl:ENSG00000073150|Vega:OTTHUMG00000044649,22,22q13.33,pannexin 2,protein-coding,pannexin-2
9961,1,"12919388,",MVP,LRP|VAULT1,MIM:605088|HGNC:HGNC:7531|Ensembl:ENSG00000013364|Vega:OTTHUMG00000048227,16,16p11.2,major vault protein,protein-coding,major vault protein|lung resistance-related protein|testicular secretory protein Li 30
57379,7,"16541139,12873980,18066064,29335468,17878393,23408445,17251349,",AICDA,AID|ARP2|CDA2|HEL-S-284|HIGM2,MIM:605257|HGNC:HGNC:13203|Ensembl:ENSG00000111732|Vega:OTTHUMG00000168676,12,12p13.31,activation induced cytidine deaminase,protein-coding,single-stranded DNA cytosine deaminase|cytidine aminohydrolase|epididymis secretory protein Li 284|integrated into Burkitt's lymphoma cell line Ramos
7345,2,"21504384,28472177,",UCHL1,HEL-117|HEL-S-53|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|SPG79|Uch-L1,MIM:191342|HGNC:HGNC:12513|Ensembl:ENSG00000154277|Vega:OTTHUMG00000099377,4,4p13,ubiquitin C-terminal hydrolase L1,protein-coding,ubiquitin carboxyl-terminal hydrolase isozyme L1|epididymis luminal protein 117|epididymis secretory protein Li 53|neuron cytoplasmic protein 9.5|ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)|ubiquitin thioesterase L1|ubiquitin thiolesterase
285,4,"15743799,18991494,16354539,12174896,",ANGPT2,AGPT2|ANG2,MIM:601922|HGNC:HGNC:485|Ensembl:ENSG00000091879|Vega:OTTHUMG00000090365,8,8p23.1,angiopoietin 2,protein-coding,angiopoietin-2|ANG-2|Tie2-ligand|angiopoietin-2B|angiopoietin-2a
4602,3,"23910958,26810070,21046410,",MYB,Cmyb|c-myb|c-myb_CDS|efg,MIM:189990|HGNC:HGNC:7545|Ensembl:ENSG00000118513|Vega:OTTHUMG00000015629,6,6q23.3,"MYB proto-oncogene, transcription factor",protein-coding,transcriptional activator Myb|oncogene AMV|proto-oncogene c-Myb|v-myb avian myeloblastosis viral oncogene homolog
3824,1,"20654155,",KLRD1,CD94,MIM:602894|HGNC:HGNC:6378|Ensembl:ENSG00000134539|Vega:OTTHUMG00000168419,12,12p13.2,killer cell lectin like receptor D1,protein-coding,"natural killer cells antigen CD94|CD94 antigen|KP43|NK cell receptor|killer cell lectin-like receptor subfamily D, member 1"
